,questions ru,question kz,Program
41,"Я недостоин любви, внимания или уважения других людей",Мен басқалардың махаббаты мен құрметіне лайық емеспін.,5
42,"Большинство людей достигают лучших результатов в работе, чем я",Басқалар менен гөрі істің көзін тауып істейді.,6
43,Мне не хватает здравого смысла,Басым дұрыс жұмыс істемейді.,7
44,"Я боюсь, что на меня могут напасть",Маған біреу шабуыл жасап қала ма деп қорқамын.,8
45,"Мне всегда было очень трудно скрывать от родителей подробности личной жизни, не испытывая при этом чувства вины","Ата-анамнан жеке өмірімде болып жатқан қиындықтарды жасырған кезде әрдайым қиналамын, кінәлі сезінбей айта алмаймын.",9
46,В отношениях с другими людьми я легко соглашаюсь быть на вторых ролях,Басқалармен қарым-қатынаста мен екінші орында болуға оңай келісе саламын.,10
47,"Я так занят делами моих близких, что у меня не остается времени для себя","Жақындарымның тірлігімен айналысып жүріп, өзіме уақыт таппай қалдым.",11
48,Мне трудно быть раскованным и непосредственным с другими людьми,"Басқалардың алдында еркін, табиғи бола алмаймын.",12
49,Я должен выполнять все свои обязательства,Уәде еткен нәрсенің бәрін істеп бітіруім керек.,13
50,"Я терпеть не могу, когда меня ограничивают или не дают делать то, что я хочу","Біреу маған тыйым салса немесе қалағанымды істетпесе, жыным келеді.",14
51,Мне очень трудно отказывать себе в удовлетворении сиюминутных желаний ради достижения отдаленной цели,"Қазіргі қалауымнан бас тартып, алыстағы мақсатым үшін шыдау маған өте қиын.",15
52,"Когда я не получаю повышенного внимания, я чувствую себя недостаточно значимым человеком","Басқалар маған назар аудармаса, өзімді бағаланбаған адамдай сезінемін.",16
53,Невозможно всё предусмотреть - что-нибудь обязательно пойдёт не так,Бәрін алдын ала ойлап қою мүмкін емес - бәрібір бір нәрсе бұзылады.,17
54,"Если я не сделаю какую-либо работу как следует, то должен буду отвечать за последствия","Жұмысты дұрыстап істемесем, салдары үшін жауап беруім керек.",18
55,"У меня никогда не было человека, который бы по-настоящему выслушивал и понимал меня или интересовался моими истинными потребностями и чувствами","Мені шын тыңдап, түсінетін немесе менің шын сезімдерім мен қажеттіліктеріме көңіл бөлетін адам болған емес.",1
56,"Когда я чувствую, что близкий человек отдаляется или уходит от меня, я впадаю в отчаяние","Жақын адамым менен алыстап бара жатқанын сезсем, күйзеліске түсемін.",2
57,"Я очень подозрительно отношусь к тому, какими мотивами руководствуются другие люди","Басқалардың ойында не бар екенін білмей, оларға сенбей жүремін.",3
58,Я чувствую себя отчужденным или изолированным от других людей,Өзімді жұрттан бөтен сезінемін.,4
59,"Мне кажется, что меня нельзя полюбить",Мені ешкім жақсы көре алмайды деп ойлаймын.,5
60,"В работе я не так талантлив, как большинство других людей",Жұмыста басқалардай қабілетті емеспін.,6
61,В житейских ситуациях на мое мнение нельзя полагаться,Тұрмыстық мәселелерде менің шешімім дұрыс емес болып шығады,7
62,"Я боюсь, что потеряю все деньги или останусь без средств к существованию","Бар ақшамнан айырылып, аш қалам ба деп қорқамын.",8
63,"Я чувствую, что живу не собственной жизнью, а так, как хотели бы от меня мои родители","Өзім қалағандай емес, ата-анамның айтқанымен өмір сүріп жүрмін.",9
64,"Так как решения за меня всегда принимали другие, то теперь я сам не знаю, чего хочу на самом деле","Әрқашан басқалар мен үшін шешім қабылдағандықтан, енді өзім не қалайтынымды білмеймін.",10
65,Мне всегда приходится выслушивать проблемы других людей,Маған әрқашан өзгелердің проблемаларын тыңдауыма тура келеді,11
66,"Я так сильно контролирую себя, что меня считают неэмоциональным или бесчувственным","Мен өзімді соншалықты қысып ұстаймын, сондықтан мені сезімсіз немесе эмоциясыз адам санайды",12
67,"Я постоянно испытываю давление от того, что нужно что-то сделать или чего-то достичь",Мен үнемі не істеуім керек немесе қандай да бір нәрсеге қол жеткізуім керек деген қысымды сезініп отырамын,13
68,"Считаю, что я не должен следовать общепринятым правилам и договоренностям, как это делают другие люди",Басқа адамдар сияқты қоғамдық ережелерге бағынудың қажеті жоқ деп ойлаймын,14
69,"Я не могу заставить себя делать то, что мне не нравится, даже если я знаю, что это нужно для моего же блага","Менің өзіме пайдалы болса да, маған ұнамайтын нәрсені жасауға өзімді мәжбүр ете алмаймын",15
70,"Если меня знакомят с новой компанией или я кому-нибудь что-то рассказываю, то для меня очень важно получить признание и восхищение","Мені жаңа топпен таныстырғанда немесе мен басқаға бірдеңе айтқанда, мені мойындап, таң қалып қолдау берулері өте маңызды",16
71,"Независимо от того, насколько усердно я работаю, меня беспокоит, что я могу лишиться денежных средств и остаться ни с чем","Қаншалықты көп жұмыс істесем де, ақшамнан айырылып, ештеңесіз қалуым мүмкін деген қорқыныш мені мазалайды",17
72,"Не имеет значения, почему я сделал ошибку - если я сделаю что-то не так, то мне придётся за это расплачиваться","Неге қателесіп кеткенім маңызды емес - егер бірдеңені дұрыс жасамасам, соның салдарын өзім тартуым керек",18
73,"В моей жизни не было такого человека, который мог бы дать мне хороший совет или направить меня, когда я не знал, как поступить",Өмірімде маған дұрыс кеңес бере алатын немесе қиналған сәтте бағыт-бағдар көрсете алатын адам болған жоқ,1
74,"Иногда я так боюсь, что кто-то покинет меня, что сам первый начинаю отталкивать этого человека","Кейде мені соншалықты тастап кету қорқынышы оянып, сол адамды өзім бірінші болып тастап кетемін",2
75,Обычно я ищу скрытые мотивы у других людей,Көбінесе мен адамдардың іс-әрекетінің артында жатқан басқа ниетті көремін.,3
76,Я чувствую себя посторонним в любой группе,Кез-келген топта өзімді бөтен сезінемін,4
77,"У меня много неприемлемых качеств, из-за которых я не могу открываться перед другими людьми или позволять им узнавать меня получше",Менде өзгелерге ашылуыма немесе мені жақыннан танытуыма кедергі болатын көптеген қолайсыз қасиеттер бар,5
78,"В том, что касается работы или учебы, я не такой сообразительный как большинство других людей","Жұмыста да, оқуда да мен басқа адамдардан анағұрлым баяу қабылдаймын да, нашар түсінемін",6
79,"Я не уверен в своей способности справляться с повседневными проблемами, которые постоянно возникают",Өмірде үздіксіз кездесетін қарапайым қиындықтарды шешуге менің мүлде сенім-қайратым жетпейді,7
80,"Я беспокоюсь, что у меня развивается тяжелое заболевание, хотя врачи не обнаруживают ничего серьезного","Дәрігерлер ешбір нақты ауру тапқан жоқ болса да, менде бір қатерлі дертке шалдығып бара жатырмын деген қорқыныш мені мазалайды",8
81,Я не чувствую себя целостной личностью отдельно от личности моего партнера или кого-то из родителей,"Өз серіктесімнен немесе ата-анамнан тыс өзімді бөлек, тұтас тұлға ретінде сезіне алмаймын",9
82,"Мне очень трудно требовать от других, чтобы они уважали мои права и считались с моими чувствами",Өзгелерден менің құқықтарымды сыйлауын және сезімдеріме мән беруін талап ету маған өте қиын,10
83,"Люди считают, что я делаю слишком много для других и недостаточно для себя","Адамдар менің өзгелер үшін тым көп нәрсе жасайтынымды, ал өзім үшін жеткіліксіз қамқорлық танытатынымды айтады",11
84,Меня считают эмоционально зажатым и напряженным,"Адамдар мені мүлдем эмоционалды қатып қалған, сезімсіз және жабық адам деп есептейді",12
85,Мне трудно снять с себя ответственность за что-либо или дать себе право на ошибку,Өзімнен кез-келген жауапкершілікті алып тастау немесе қателесуге рұқсат беру маған өте қиын,13
86,"То, что я предлагаю и делаю, является более ценным, чем вклад других людей",Менің ұсыныстарым мен іс-әрекеттерім өзгелердің қосқан үлестерінен әлдеқайда маңызды әрі құнды,14
87,"Мне редко удаётся сдерживать обещания, которые я даю самому себе",Өзіме беретін уәделерімді сирек орындай аламын,15
88,"Я чувствую себя по-настоящему ценным человеком, когда меня хвалят или осыпают комплиментами","Тек қана адамдар мені мақтап, қолпаштап, ерекше бір сөздер айтқан сәтінде өзімді шынайы және нағыз бағалы тұлға ретінде қабылдай аламын",16
89,"Я боюсь, что любое неправильное решение может привести к катастрофе","Қабылдаған кез-келген қате шешімім толық апатқа соқтырып, өмірімді түбегейлі өзгертіп жіберуінен қатты қорқамын",17
90,"Я плохой человек, который заслуживает наказания",Мен жазаға лайық жаман адаммын,18
